序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
176,臺北市,2018/12/06,松山,3.6,0.56,443.13,22,30,11,34.89,9.04,25.83,2.114,0.204,1.909,1.51,1.13,22.96,-,-,79.2,-
177,臺北市,2018/12/06,古亭,2.6,0.59,-,23.5,33,18,28.96,7.45,21.52,2.234,0.208,2.026,1.69,1.38,23.96,-,-,75.9,-
178,臺北市,2018/12/06,中山,3.3,0.7,-,20.6,35,14,37.68,9.86,27.82,2.2,0.25,1.95,1.67,1.26,23.98,-,-,79.31,-
179,臺北市,2018/12/06,大同,3.1,1.38,-,-,39,12,76.2,40.47,35.72,2.683,0.472,2.211,-,-,-,-,-,-,-
180,臺北市,2018/12/06,萬華,3.1,0.66,-,20.6,31,10,33.01,7.2,25.81,-,-,-,1.73,1.33,24.21,-,-,74.85,-
181,臺北市,2018/12/06,陽明,2.1,0.17,411.46,31.8,5,3,2.1,0.36,1.65,-,-,-,1.83,-,18.35,0.5,4.09,94.15,40.6
182,臺北市,2018/12/06,士林,2.2,0.45,-,22.8,26,10,15.46,1.81,13.62,-,-,-,1.55,1.18,24.53,-,-,77.5,-
183,臺北市,2018/12/05,松山,1.6,0.41,433.43,23.6,34,14,26.77,5.08,21.69,1.945,0.132,1.813,1.93,1.56,21.39,-,-,84.33,-
184,臺北市,2018/12/05,古亭,1.9,0.49,-,29,38,18,19.32,3.16,16.14,2.053,0.11,1.943,3.14,2.76,22.17,-,-,81.43,-
185,臺北市,2018/12/05,中山,2.3,0.6,-,23.8,38,13,27.78,6.45,21.32,1.978,0.145,1.833,2.5,2.13,22.43,-,-,83.26,-
186,臺北市,2018/12/05,大同,1.9,0.87,-,-,39,12,53.09,25.92,27.17,2.203,0.23,1.973,-,-,-,-,-,-,-
187,臺北市,2018/12/05,萬華,2.1,0.48,-,24.7,31,11,25.04,5.03,20.01,-,-,-,3.03,2.67,22.64,-,-,78.46,-
188,臺北市,2018/12/05,陽明,1.6,0.21,418.06,40.9,6,2,3.46,1.28,2.19,-,-,-,2.7,-,15.18,0.5,4.1,99.53,108.41
189,臺北市,2018/12/05,士林,1.3,0.32,-,35.9,25,9,9.8,2.27,7.53,-,-,-,2.68,2.33,23.65,-,-,74.66,-
190,臺北市,2018/12/04,松山,3.2,0.59,449.93,24.9,34,15,39.82,11.36,28.46,2.073,0.21,1.863,1.47,1.06,23.81,-,-,68.54,-
191,臺北市,2018/12/04,古亭,3,0.52,-,27.9,37,23,30.08,7.71,22.38,2.13,0.208,1.922,1.6,1.34,24.17,-,-,66.89,-
192,臺北市,2018/12/04,中山,2,0.7,-,21.7,36,14,39.97,11.88,28.09,2.124,0.251,1.873,1.54,1.12,24.59,-,-,67.75,-
193,臺北市,2018/12/04,大同,4.2,1.57,-,-,39,14,84.41,46.55,37.86,2.649,0.539,2.11,-,-,-,-,-,-,-
194,臺北市,2018/12/04,萬華,2.4,0.66,-,22.7,32,12,37.04,9.65,27.4,-,-,-,1.43,1.04,24.66,-,-,64.23,-
195,臺北市,2018/12/04,陽明,1.1,0.18,421.4,33.1,11,6,2.89,0.13,2.92,-,-,-,1.78,-,18.88,0.5,5.18,86.15,56.4
196,臺北市,2018/12/04,士林,3,0.56,-,21.2,31,15,32.2,10.49,21.71,-,-,-,1.1,0.94,24.6,-,-,70.71,-
197,臺北市,2018/12/03,松山,6.5,0.74,462.27,18.3,45,23,53.72,16.93,36.79,2.225,0.268,1.957,1.14,0.85,23.05,-,-,68.75,-
198,臺北市,2018/12/03,古亭,3,0.61,-,23.5,36,23,36.56,9.87,26.69,2.185,0.22,1.965,1.34,1.06,23.46,-,-,64.52,-
199,臺北市,2018/12/03,中山,4.4,0.78,-,18.6,46,21,48.97,12.52,36.43,2.204,0.267,1.937,1.3,0.92,23.88,-,-,67.03,-
200,臺北市,2018/12/03,大同,3.9,1.59,-,-,44,18,93.91,50.85,43.07,2.622,0.524,2.098,-,-,-,-,-,-,-
201,臺北市,2018/12/03,萬華,2.3,0.66,-,21.1,33,16,36.71,7.22,29.49,-,-,-,1.2,0.91,23.89,-,-,62.23,-
202,臺北市,2018/12/03,陽明,2.8,0.21,421.16,52.6,16,11,4.48,0.34,4.17,-,-,-,1.13,-,19.15,0,0,58.63,0
203,臺北市,2018/12/03,士林,2.6,0.64,-,24.5,47,25,33.77,7.25,26.52,-,-,-,1.34,1.17,23.34,-,-,72.29,-
204,臺北市,2018/12/02,松山,2.1,0.34,432.92,24.2,23,11,25.55,7.99,17.55,1.973,0.136,1.837,1.61,1.26,23.74,-,-,64.25,-
205,臺北市,2018/12/02,古亭,1.6,0.41,-,25.6,28,15,24.53,6.85,17.69,2.051,0.129,1.922,1.38,1.25,24.79,-,-,61.28,-
206,臺北市,2018/12/02,中山,2.3,0.49,-,22.6,33,14,30.86,6.31,24.53,2.03,0.169,1.861,1.58,1.32,25,-,-,63.89,-
207,臺北市,2018/12/02,大同,2.8,1.03,-,-,36,14,66.27,33.62,32.66,2.369,0.325,2.044,-,-,-,-,-,-,-
208,臺北市,2018/12/02,萬華,2.3,0.45,-,25.5,30,14,27.56,4.87,22.69,-,-,-,1.61,1.24,24.98,-,-,60.15,-
209,臺北市,2018/12/02,陽明,1.3,0.15,414.06,43.6,14,5,2.1,0.24,1.93,-,-,-,2.13,-,18.37,0,0,78.83,0
210,臺北市,2018/12/02,士林,1.9,0.3,-,32.3,22,10,15.67,2.89,12.78,-,-,-,1.87,1.74,25.48,-,-,63.51,-
211,臺北市,2018/12/01,松山,2.4,0.47,442.31,21.1,36,13,32.12,7.84,24.28,2.115,0.2,1.915,1.27,0.97,22.68,-,-,64.94,-
212,臺北市,2018/12/01,古亭,1.8,0.38,-,29.6,36,21,23.16,5.54,17.62,2.065,0.129,1.936,1.64,1.32,23.48,-,-,63.24,-
213,臺北市,2018/12/01,中山,1.4,0.58,-,24.6,44,19,33.39,8.02,25.37,2.066,0.18,1.886,1.52,1.1,23.54,-,-,67.68,-
214,臺北市,2018/12/01,大同,4.2,1.08,-,-,42,15,62.53,28.47,34.07,2.373,0.318,2.055,-,-,-,-,-,-,-
215,臺北市,2018/12/01,萬華,2.4,0.48,-,26.3,38,17,27.96,4.94,23.02,-,-,-,1.62,1.21,23.55,-,-,62.34,-
216,臺北市,2018/12/01,陽明,2,0.17,419.34,44.8,26,13,2.43,0.3,2.11,-,-,-,1.47,-,16.84,0,0,88.23,0
217,臺北市,2018/12/01,士林,2.4,0.34,-,34.2,39,16,18.46,4.65,13.8,-,-,-,1.66,1.47,23.7,-,-,67.9,-
218,新北市,2018/12/31,板橋,2.1,0.32,-,25.1,5,6,17.58,2.22,15.36,2.012,0.081,1.93,2.42,2.12,16.69,1,5.29,84.51,36.2
219,新北市,2018/12/31,三重,3,0.96,-,-,25,4,68.46,41.66,26.81,2.159,0.291,1.868,-,-,17.25,-,-,82.22,-
220,新北市,2018/12/31,菜寮,1.2,0.37,-,21.2,6,3,13.68,0.99,12.74,-,-,-,2.41,2.01,16.72,-,-,81.97,-
221,新北市,2018/12/31,永和,1.3,0.36,-,30.1,9,3,14.74,3.14,11.59,1.906,0.094,1.813,1.84,1.7,15.53,-,-,89.32,-
222,新北市,2018/12/31,新莊,1.6,0.33,-,26.9,8,2,16.53,2.88,13.65,-,-,-,2.82,2.51,16.95,-,-,78.64,-
223,新北市,2018/12/31,新店,1.2,0.29,-,24,5,3,14.77,1.89,12.87,-,-,-,0.95,0.58,-,-,-,-,-
224,新北市,2018/12/31,淡水,1.2,0.21,-,38,5,3,3.17,0.71,2.44,-,-,-,2.61,-,15.68,-,-,93,-
225,新北市,2018/12/31,汐止,1.5,0.23,-,37.4,5,3,7.53,1.13,6.39,-,-,-,2.93,2.59,16.2,-,-,95.15,-
226,新北市,2018/12/31,土城,1.1,0.33,-,28.9,5,5,10.89,0.61,10.32,1.905,0.077,1.827,1.26,0.5,16.65,-,-,86.97,-
227,新北市,2018/12/31,林口,1.5,0.2,-,33.8,8,2,6.55,1.09,5.45,-,-,-,3.08,2.91,14.18,-,-,96.63,-
228,新北市,2018/12/31,富貴角,0.1,0.15,-,38.7,29,8,1.06,0.06,1.07,1.947,0.01,1.936,11.71,8.7,16.43,-,-,89.74,-
229,新北市,2018/12/31,萬里,2.3,0.17,-,41.8,36,8,2.52,1.04,1.47,-,-,-,7.98,7.6,16.95,1.62,4.78,92.95,110.96
230,新北市,2018/12/30,板橋,1.7,0.33,-,27.8,10,7,15.38,1.6,13.77,2.012,0.077,1.935,3.01,2.51,15.73,2,4.52,77.69,49.5
231,新北市,2018/12/30,三重,4,0.9,-,-,27,4,67.15,41.02,26.13,2.131,0.246,1.885,-,-,16.05,-,-,79.36,-
232,新北市,2018/12/30,菜寮,1.8,0.31,-,25.5,9,3,11.02,1.12,9.9,-,-,-,3.29,3,15.61,-,-,78.15,-
233,新北市,2018/12/30,永和,1.1,0.29,-,33.6,11,4,11.1,1.88,9.21,1.895,0.08,1.815,2.5,2.26,15.13,-,-,83.52,-
234,新北市,2018/12/30,新莊,1.9,0.28,-,33.5,10,2,10.09,1.13,8.96,-,-,-,4.72,4.48,15.99,-,-,73.3,-
235,新北市,2018/12/30,新店,1.1,0.28,-,31.6,6,3,7.48,1.35,6.12,-,-,-,1.78,1.29,-,-,-,-,-
236,新北市,2018/12/30,淡水,0.5,0.22,-,39.3,8,3,2.69,0.28,2.43,-,-,-,1.85,-,14.93,-,-,86.17,-
237,新北市,2018/12/30,汐止,1.5,0.27,-,35.3,11,5,10.43,2.16,8.26,-,-,-,2.68,2.34,15.04,-,-,91.14,-
238,新北市,2018/12/30,土城,0.7,0.3,-,31.5,10,6,9.75,0.62,9.1,1.901,0.073,1.828,1.59,0.72,15.78,-,-,80.15,-
239,新北市,2018/12/30,林口,1.3,0.23,-,37,14,3,5.89,1.32,4.57,-,-,-,3.26,3.02,13.78,-,-,85,-
240,新北市,2018/12/30,富貴角,0,0.16,-,40.6,33,10,1.07,0.24,1.02,1.954,0.007,1.946,11.51,7.32,16.3,-,-,79.91,-
241,新北市,2018/12/30,萬里,1.8,0.17,-,43.9,39,10,1.52,0.75,0.75,-,-,-,10.36,9.94,16.85,0.63,4.33,81.13,358.6
242,新北市,2018/12/29,板橋,1.6,0.37,-,26.8,18,10,16.9,2.6,14.3,2.022,0.087,1.935,3.16,2.71,14.1,0,0,71.48,0
243,新北市,2018/12/29,三重,1.5,1.04,-,-,30,7,90.59,60.76,29.83,2.133,0.281,1.853,-,-,14.97,-,-,68.72,-
244,新北市,2018/12/29,菜寮,0.6,0.32,-,27.1,15,5,10.92,1.87,9.05,-,-,-,3.57,3.22,14.29,-,-,68.12,-
245,新北市,2018/12/29,永和,1.5,0.35,-,31.1,19,7,14.31,3.71,10.6,1.92,0.096,1.824,2.66,2.43,13.08,-,-,79.42,-
246,新北市,2018/12/29,新莊,0.7,0.33,-,32.7,11,3,9.7,0.85,8.85,-,-,-,5.08,4.75,14.58,-,-,65.14,-
247,新北市,2018/12/29,新店,1.5,0.33,-,29.5,16,10,11.2,1.5,9.68,-,-,-,1.94,1.45,-,-,-,-,-
248,新北市,2018/12/29,淡水,0.9,0.24,-,38.1,17,7,3.2,0.53,2.61,-,-,-,2.44,-,12.64,-,-,85.88,-
249,新北市,2018/12/29,汐止,1.3,0.3,-,32.4,17,6,11.9,1.64,10.25,-,-,-,2.58,2.35,13.32,-,-,85.65,-
250,新北市,2018/12/29,土城,1.7,0.32,-,30,18,9,10.14,0.68,9.45,1.904,0.077,1.827,1.59,0.41,14.11,-,-,75.59,-
251,新北市,2018/12/29,林口,1.2,0.24,-,35.8,21,6,6.09,1.6,4.48,-,-,-,4.6,4.22,11.5,-,-,83.05,-
252,新北市,2018/12/29,富貴角,0.5,0.18,-,39.1,41,14,1.6,0.07,1.62,1.984,0.019,1.964,12.71,9.75,14.6,-,-,75.76,-
253,新北市,2018/12/29,萬里,1.8,0.21,-,41.1,55,14,2.39,0.73,1.63,-,-,-,8.57,8.23,15.12,0.5,4.06,77.04,996.4
254,新北市,2018/12/28,板橋,1.4,0.41,-,26.8,16,9,19.09,3.4,15.7,2.053,0.106,1.947,3.29,2.79,15.5,0,0,74.58,0
255,新北市,2018/12/28,三重,2.7,1.21,-,-,28,7,92.77,63.58,29.19,2.197,0.312,1.886,-,-,16.24,-,-,71.97,-
256,新北市,2018/12/28,菜寮,1.8,0.39,-,26.3,12,6,12.28,1.71,10.57,-,-,-,3.3,2.96,15.65,-,-,71.37,-
257,新北市,2018/12/28,永和,1.8,0.47,-,29.4,18,9,19.15,4.67,14.47,1.961,0.127,1.834,2.48,2.26,14.7,-,-,82.63,-
258,新北市,2018/12/28,新莊,1.4,0.39,-,31.3,12,4,12.59,1.23,11.35,-,-,-,4.45,4.01,15.93,-,-,68.5,-
259,新北市,2018/12/28,新店,1.1,0.35,-,28,11,8,14.89,2.39,12.5,-,-,-,1.7,1.15,-,-,-,-,-
260,新北市,2018/12/28,淡水,0.7,0.28,-,39.6,16,7,3.32,0.77,2.53,-,-,-,2.28,-,13.65,-,-,90.88,-
261,新北市,2018/12/28,汐止,2.4,0.31,-,34.8,15,7,11.63,1.74,9.89,-,-,-,3.1,2.81,14.58,-,-,89.43,-
262,新北市,2018/12/28,土城,1.3,0.39,-,29.1,18,10,13.65,0.96,12.68,1.93,0.09,1.84,1.48,0.49,15.45,-,-,79.01,-
263,新北市,2018/12/28,林口,0.5,0.29,-,34.6,22,6,10.64,2.66,7.98,-,-,-,4.22,4.09,12.79,-,-,87.03,-
264,新北市,2018/12/28,富貴角,0.1,0.22,-,41.2,41,17,1.5,0,1.55,2.004,0.022,1.983,13.44,11.37,15.85,-,-,77.98,-
265,新北市,2018/12/28,萬里,2.1,0.27,-,42.7,58,17,3.07,1.31,1.77,-,-,-,9.3,8.69,16.27,0.58,4.13,82.35,561.52
266,新北市,2018/12/27,板橋,1.6,0.41,-,21.9,12,9,23.77,3.95,19.82,2.091,0.155,1.936,2.32,1.73,17.94,1.11,4.57,80.98,41.33
267,新北市,2018/12/27,三重,1.4,1.23,-,-,28,3,98.13,67.15,30.97,2.218,0.352,1.866,-,-,18.55,-,-,78.29,-
268,新北市,2018/12/27,菜寮,0.7,0.43,-,21.2,13,4,17.11,2.29,14.78,-,-,-,2.04,1.56,17.91,-,-,78.21,-
269,新北市,2018/12/27,永和,2,0.57,-,26,10,6,25.13,8.39,16.74,2.011,0.158,1.853,1.78,1.56,17.57,-,-,85.01,-
270,新北市,2018/12/27,新莊,1.7,0.35,-,26.9,17,3,18.4,2.77,15.63,-,-,-,3.43,3.46,17.9,-,-,76.18,-
271,新北市,2018/12/27,新店,1.7,0.34,-,27.1,8,6,15.45,2.16,13.29,-,-,-,1.46,0.88,-,-,-,-,-
272,新北市,2018/12/27,淡水,0.9,0.22,-,40.3,15,7,2.47,0.62,1.81,-,-,-,2.91,-,16.03,-,-,95.38,-
273,新北市,2018/12/27,汐止,0.5,0.27,-,36.5,12,4,10.98,2.52,8.46,-,-,-,2.58,2.28,17.08,-,-,91.65,-
274,新北市,2018/12/27,土城,1.3,0.4,-,27,12,8,15.51,1.48,14.03,1.94,0.11,1.83,1.21,0.64,17.66,-,-,85.15,-
275,新北市,2018/12/27,林口,1.4,0.24,-,37.4,-,4,8.74,2.38,6.37,-,-,-,4.71,4.39,15.82,-,-,95.7,-
276,新北市,2018/12/27,富貴角,0.4,-,-,41.2,48,14,1.66,0.07,1.7,1.967,0.018,1.949,11.56,11.17,17.94,-,-,83.6,-
277,新北市,2018/12/27,萬里,1.6,0.21,-,43.6,48,14,1.67,0.98,0.66,-,-,-,10.65,10.06,18.02,0.58,4.39,87.28,543.92
278,新北市,2018/12/26,板橋,2,0.5,-,18.6,13,9,25.16,3.86,21.3,2.149,0.202,1.947,1.73,1.44,20.98,0,0,83.43,0
279,新北市,2018/12/26,三重,3.7,1.35,-,-,33,7,106.31,73.26,33.05,2.304,0.427,1.877,-,-,21.15,-,-,85.3,-
280,新北市,2018/12/26,菜寮,1.7,0.43,-,16.8,14,5,18.39,1.44,16.95,-,-,-,1.41,0.96,20.49,-,-,86.42,-
281,新北市,2018/12/26,永和,1.5,0.94,-,15.8,16,11,45.2,21.54,23.66,2.204,0.3,1.904,1.03,0.83,21.4,-,-,87.34,-
282,新北市,2018/12/26,新莊,1.8,0.34,-,25.8,18,4,17.4,3.05,14.35,-,-,-,2.13,1.93,21.04,-,-,78.45,-
283,新北市,2018/12/26,新店,1.7,0.39,-,18,23,9,21.98,4.63,17.34,-,-,-,1.09,0.76,-,-,-,-,-
284,新北市,2018/12/26,淡水,1.8,0.24,-,35,9,7,5.61,1.08,4.54,-,-,-,2.06,-,19.5,-,-,98.21,-
285,新北市,2018/12/26,汐止,1.3,0.37,-,22.6,11,3,21.89,5.27,16.62,-,-,-,1.2,0.98,20.43,-,-,93.26,-
286,新北市,2018/12/26,土城,1.6,0.41,-,19.9,15,10,20.75,3.17,17.58,1.999,0.183,1.816,0.97,0.69,20.72,-,-,85.73,-
287,新北市,2018/12/26,林口,1.4,0.18,-,34.1,-,3,11.06,3.05,8.01,-,-,-,2.83,2.63,18.41,-,-,99.43,-
288,新北市,2018/12/26,富貴角,0.3,-,-,38.2,29,7,3.02,0.29,2.89,1.933,0.012,1.92,5.76,5.64,19.75,-,-,94.13,-
289,新北市,2018/12/26,萬里,0.6,0.17,-,37.5,19,8,6.31,1.62,4.71,-,-,-,3.9,3.33,20.34,1.17,4.87,93.82,62.46
290,新北市,2018/12/25,板橋,2.5,0.68,-,19,14,10,31.29,9.49,21.8,2.213,0.245,1.967,2.58,2.14,21.74,0.5,4.51,83.1,8.5
291,新北市,2018/12/25,三重,4.2,1.46,-,-,35,8,93.36,62.08,31.28,2.382,0.464,1.919,-,-,22.01,-,-,82.95,-
292,新北市,2018/12/25,菜寮,2.1,0.5,-,15.9,17,5,23,3.96,19.04,-,-,-,2.51,2.38,21.43,-,-,82.99,-
293,新北市,2018/12/25,永和,2.4,0.74,-,21.1,12,7,32.3,11.99,20.31,2.122,0.237,1.885,1.93,1.78,21.23,-,-,86.05,-
294,新北市,2018/12/25,新莊,3.4,0.51,-,22.5,18,6,26.32,6.75,19.57,-,-,-,3.09,2.9,21.95,-,-,76.91,-
295,新北市,2018/12/25,新店,1.6,0.56,-,19,12,6,26.34,10.99,15.34,-,-,-,1.35,1.1,-,-,-,-,-
296,新北市,2018/12/25,淡水,2.4,0.36,-,25.1,15,8,13.89,2.44,11.45,-,-,-,0.8,-,20.72,-,-,94.13,-
297,新北市,2018/12/25,汐止,2.9,0.36,-,23.2,10,4,24.02,6.9,17.12,-,-,-,1.83,1.84,20.98,-,-,92.79,-
298,新北市,2018/12/25,土城,1.9,0.59,-,20.6,18,11,28.26,9.76,18.5,2.135,0.272,1.863,1.37,0.98,21.64,-,-,83.7,-
299,新北市,2018/12/25,林口,2.3,0.24,-,30.5,15,5,15.51,3.53,11.98,-,-,-,2.81,2.4,19.2,-,-,92.97,-
300,新北市,2018/12/25,富貴角,0.4,0.16,-,39.6,29,10,2.13,0.21,2.04,1.926,0.005,1.918,6.22,5.99,20.13,-,-,94.78,-
301,新北市,2018/12/25,萬里,2.4,0.28,-,29.4,38,14,11.93,3.49,8.43,-,-,-,2.34,2.23,20.64,2,4.34,96.46,188.23
302,新北市,2018/12/24,板橋,1.9,0.41,-,27.7,8,7,20.79,2.95,17.82,2.031,0.112,1.92,2.71,2.31,17.73,2.06,4.7,83.68,6
303,新北市,2018/12/24,三重,2.2,0.98,-,-,26,5,65.93,37.15,28.78,2.104,0.255,1.849,-,-,18.07,-,-,84.1,-
304,新北市,2018/12/24,菜寮,2,0.4,-,25.6,11,5,14.19,2.49,11.69,-,-,-,3.09,2.76,17.6,-,-,82.76,-
305,新北市,2018/12/24,永和,1.3,0.39,-,34.7,10,4,16.16,3.24,12.94,1.891,0.089,1.802,2.29,2.09,16.68,-,-,87.91,-
306,新北市,2018/12/24,新莊,1.9,0.37,-,31.9,13,3,17.93,2.94,14.99,-,-,-,3.57,3.41,17.88,-,-,79.87,-
307,新北市,2018/12/24,新店,1.1,0.38,-,30.8,8,2,14.7,1.74,12.94,-,-,-,1.51,1.07,-,-,-,-,-
308,新北市,2018/12/24,淡水,1,0.28,-,38.2,6,5,7.13,0.91,6.23,-,-,-,1.65,-,16.75,-,-,92.71,-
309,新北市,2018/12/24,汐止,1.8,0.3,-,36.4,8,3,15.28,1,14.31,-,-,-,2.74,2.45,17.15,-,-,94.56,-
310,新北市,2018/12/24,土城,1.5,0.38,-,32.9,10,6,13.18,1.07,12.1,1.924,0.098,1.826,1.56,0.67,17.84,-,-,84.35,-
311,新北市,2018/12/24,林口,1.7,0.31,-,34.3,16,5,16.78,3.12,13.65,-,-,-,3.83,3.42,15.45,-,-,93.75,-
312,新北市,2018/12/24,富貴角,0.3,0.18,-,46,35,10,1.2,0.02,1.23,1.953,0.009,1.942,9.84,8.74,17.79,-,-,87.42,-
313,新北市,2018/12/24,萬里,1.4,0.19,-,48.4,41,12,2.78,0.83,1.94,-,-,-,7.91,7.4,18.11,3,5.17,89.78,70.57
314,新北市,2018/12/23,板橋,1.8,0.6,-,18.6,22,15,29.74,8.09,21.65,2.307,0.239,2.068,2.38,2.03,21,2.25,4.72,83.4,5.81
315,新北市,2018/12/23,三重,3.2,1.23,-,-,41,9,78.21,47.91,30.3,2.415,0.381,2.034,-,-,21.33,-,-,83.58,-
316,新北市,2018/12/23,菜寮,2.1,0.56,-,15.6,22,11,23.97,4.69,19.27,-,-,-,2.06,1.77,20.92,-,-,82.15,-
317,新北市,2018/12/23,永和,0.6,0.53,-,25.2,15,9,20.47,5.68,14.79,2.067,0.162,1.905,1.99,1.7,20.6,-,-,86.8,-
318,新北市,2018/12/23,新莊,2,0.67,-,19,28,11,30.96,11.85,19.11,-,-,-,2.44,2.26,20.89,-,-,79.5,-
319,新北市,2018/12/23,新店,1.6,0.4,-,21.9,17,9,15.23,2.38,12.85,-,-,-,1.2,0.78,-,-,-,-,-
320,新北市,2018/12/23,淡水,2.3,0.4,-,30.7,18,13,10.92,2.68,8.24,-,-,-,2.68,-,19.08,-,-,95.92,-
321,新北市,2018/12/23,汐止,1.3,0.37,-,30,15,7,14.17,2.98,11.19,-,-,-,2.84,2.5,20.05,-,-,93.65,-
322,新北市,2018/12/23,土城,1.6,0.55,-,21.4,23,16,20.99,6.7,14.28,2.116,0.198,1.918,1.2,0.47,20.63,-,-,85.3,-
323,新北市,2018/12/23,林口,1.6,0.32,-,31.5,21,9,11.72,1.39,10.33,-,-,-,3.15,2.89,18.19,-,-,95.95,-
324,新北市,2018/12/23,富貴角,0.5,0.24,-,39.9,37,14,3.54,0.1,3.52,1.978,0.027,1.951,10.09,9.5,19.73,-,-,93.25,-
325,新北市,2018/12/23,萬里,1.1,0.26,-,35.8,44,14,5.16,0.96,4.19,-,-,-,6.7,5.89,20.31,4.44,4.6,93.66,111.09
326,新北市,2018/12/22,板橋,5,0.84,-,23,63,36,41.38,10.4,30.97,2.488,0.402,2.086,1.4,1.12,23.2,0,0,74.08,0
327,新北市,2018/12/22,三重,5.3,1.51,-,-,71,29,110.62,70.22,40.4,2.598,0.554,2.044,-,-,23.5,-,-,74.2,-
328,新北市,2018/12/22,菜寮,4.8,0.76,-,17.6,56,24,38.22,11.78,26.43,-,-,-,1.43,1.08,22.94,-,-,73.91,-
329,新北市,2018/12/22,永和,3.1,1.19,-,20,47,30,53.63,18.65,34.98,2.391,0.406,1.985,0.97,0.7,24.45,-,-,76.88,-
330,新北市,2018/12/22,新莊,4.6,0.77,-,22.8,62,29,42.8,16.25,26.55,-,-,-,1.43,1.24,23.06,-,-,70.27,-
331,新北市,2018/12/22,新店,2.5,0.7,-,28.6,62,34,34.1,9.15,24.95,-,-,-,0.98,0.74,-,-,-,-,-
332,新北市,2018/12/22,淡水,3.4,0.48,-,32.2,45,22,18.6,4.85,13.75,-,-,-,0.88,-,21.45,-,-,89.13,-
333,新北市,2018/12/22,汐止,3.9,0.55,-,22.1,38,19,37.72,16.46,21.26,-,-,-,1.35,1.12,22.34,-,-,81.81,-
334,新北市,2018/12/22,土城,3,0.85,-,23.9,60,40,48.04,19.72,28.32,2.295,0.363,1.932,1,0.69,22.55,-,-,76.02,-
335,新北市,2018/12/22,林口,3.9,0.39,-,38.3,61,30,22.25,4.92,17.32,-,-,-,1.5,1.37,20.75,-,-,84.66,-
336,新北市,2018/12/22,富貴角,2,0.24,-,38.9,57,28,8.08,0.38,7.77,2.022,0.065,1.957,2.45,2.35,21.96,-,-,86.08,-
337,新北市,2018/12/22,萬里,2.5,0.21,-,29.8,39,21,8.23,2.56,5.67,-,-,-,2.63,2.62,21.27,0,0,86.84,0
338,新北市,2018/12/21,板橋,4.2,0.63,-,15.9,39,22,37.61,8.95,28.66,2.31,0.29,2.021,2.26,1.92,22.43,0,0,70.35,0
339,新北市,2018/12/21,三重,4.9,1.52,-,-,47,17,109.07,70.32,38.75,2.53,0.517,2.013,-,-,23.36,-,-,67.81,-
340,新北市,2018/12/21,菜寮,3.2,0.65,-,14.4,37,15,34.1,8.63,25.45,-,-,-,2.42,2.08,22.73,-,-,67.41,-
341,新北市,2018/12/21,永和,2.8,0.65,-,21.5,34,20,30.73,10.2,20.53,2.094,0.211,1.883,1.92,1.58,22.61,-,-,74.66,-
342,新北市,2018/12/21,新莊,4.8,0.69,-,19.4,48,20,38.01,12.25,25.76,-,-,-,3.18,2.95,22.66,-,-,65.6,-
343,新北市,2018/12/21,新店,1.9,0.37,-,23.9,29,14,18.92,5.23,13.69,-,-,-,1.7,1.35,-,-,-,-,-
344,新北市,2018/12/21,淡水,1.3,0.46,-,29.4,32,18,20.7,5.6,15.1,-,-,-,1.7,-,21.67,-,-,77.92,-
345,新北市,2018/12/21,汐止,2.6,0.51,-,22,35,16,38.62,17.46,21.16,-,-,-,1.52,1.35,21.1,-,-,81.48,-
346,新北市,2018/12/21,土城,2.1,0.57,-,19.8,37,23,31.91,10.74,21.17,2.129,0.25,1.879,1.35,0.84,22.02,-,-,71.58,-
347,新北市,2018/12/21,林口,3.4,0.38,-,34.6,43,19,23.74,5.59,18.15,-,-,-,2.72,2.43,20.74,-,-,74.99,-
348,新北市,2018/12/21,富貴角,0.6,0.18,-,51,34,17,2.64,0.21,2.6,1.935,0.011,1.923,6.13,5.81,21.36,-,-,87.14,-
349,新北市,2018/12/21,萬里,2.8,0.22,-,36.9,36,18,7.76,1.2,6.55,-,-,-,2.52,2.3,20.63,0,0,87.19,0
350,新北市,2018/12/20,板橋,4.9,0.93,-,22.4,57,33,53.5,12.75,40.75,2.625,0.495,2.13,1.44,1.17,20.83,0,0,62.85,0
351,新北市,2018/12/20,三重,3.7,1.49,-,-,49,17,108.53,60.41,48.12,2.436,0.492,1.944,-,-,21.32,-,-,61.71,-
352,新北市,2018/12/20,菜寮,3.5,0.88,-,19.1,48,22,48.48,13.03,35.43,-,-,-,1.68,1.1,20.72,-,-,62.3,-
353,新北市,2018/12/20,永和,3.4,1.01,-,20.4,34,21,54.13,19.63,34.5,2.299,0.339,1.96,1.1,0.8,20.69,-,-,64.05,-
